X_07j6EI4gu:     3528     
FboMbLKzLX_69hiItAp:     999999     5
vUL7hrueeJkJvF:     not_a_number     false
FJfho9:     453.09388389351625     random_value
QZ0b_JZ6MP9o:     3395     true
LPN89WB6jXZA:     8081.526816315414     5
Z6feOCup:     1198     random_value
XeDi1JVyn08KRdcIGKN3:     2397     5
yGO:     -1063     5
KKf:     -1263     true
zz_RxZNQxvTWs08K_:     2710.9322220261674     random_value
A7lzh:     -2780     false
Kl6mIr4gIhGD:     1727     
bLEp:     999999     random_value
QPTQeUXEo70BjIBOJMLM:     1719     5
oiHyG9V8sj0emsn:     9343.733133415019     5
JclgeMk13bgnpcg_:     848     random_value
q7_u2WQuDCemJpd4Om5s:     -1928     
ozPKlzoLu:     -4011.414685428196     random_value
TOo8U27LJ4BBMcI2RB:     -2355     false
VfmYPTKOYTBv4Jcip:     -3570     5
Zk0:     999999     false
a9h29k:     not_a_number     true
HCPY:     999999     5
MQe1m0ntMxxdms:     1334     
gzIzENaMK8QcMgqKs:     7722.976563340799     true
tFCwULRovuVUDcAm1tR:     -3424     
hxodPUK41:     3807.534504757068     true
N7vnUg:     -1453     false
BiDalIX2GAJuHA:     -1656     false
XUCmqhZNbnZ:     4388     5
vYj6T2:     not_a_number     false
yyQdwOfKWrrd4RiVHNM:     -2384     random_value
fX06rhQj_d:     not_a_number     5
eHM9hJXZucIdEO9deT:     not_a_number     false
koJ:     4324     5
RZlQeGRJzp:     -6047.822120827597     true
YPJhqD:     -2879     true
ejDBqAkTit6swb1Q:     8356.264005970326     
f:     1340     true
cqPrkLtL3kS2MMoF:     -4310.645581941626     false
FphGL0FD0RqUlATCQp:     -3538     false
RjuQsY765gD4Dg4y9:     not_a_number     true
fBTj_kkj4Bt:     1850.5679408597243     5
kNCA9IkoybQrYg:     999999     5
lcjv2K5zEq3:     3920     true
NAZu8g:     4508     5
j6NPXAJ2bEmy0HVE:     4102     5
M5cy:     999999     true
yNCcELJoIpVnIHLHn:     2886     random_value
XY8F:     122     false
x3FOz_VwbKV9KipBlapM:     4500     random_value
AXhKghkLAt:     1950     true
hpAW8:     999999     false
ueP4DFm:     -2661.1418862936835     random_value
HVaz:     999999     
Xi5_YoPd0t4m:     not_a_number     random_value
qOERdeA8q4:     1624     true
iC879NmcByi4:     -1664     true
J:     not_a_number     false
ju0JI50w:     -3577.9027029813597     true
iNNUheZyZXoyUQ:     999999     
wAGdyIuoR5AcSw:     -4995     false
pW9aSzShjohEn5MtKiY:     3974.7452138187873     5
xQFEfjwov:     999999     true
DPfNbd58NcR7Of:     867     true
tyswI4_8PKtZWirIFOl:     2769     true
U2GoNNJ2Z:     999999     5
yT1hfy:     not_a_number     random_value
Y28qZDmfR:     not_a_number     true
A:     1425.2090971460093     
yb_NN6tsVfu3OB:     4568     
bXXbNigV:     3118     random_value
OdR6rfzrYq:     999999     
